block,rater_id,item,score,scenario,model,explicitness,dimension
1,B1_R1,S5_Olmo2_Implicit_Affective,2.0,S5,Olmo2,Implicit,Affective
1,B1_R2,S5_Olmo2_Implicit_Affective,2.0,S5,Olmo2,Implicit,Affective
1,B1_R3,S5_Olmo2_Implicit_Affective,6.0,S5,Olmo2,Implicit,Affective
1,B1_R4,S5_Olmo2_Implicit_Affective,4.0,S5,Olmo2,Implicit,Affective
1,B1_R1,S6_Olmo2_Explicit_Cognitive,4.0,S6,Olmo2,Explicit,Cognitive
1,B1_R2,S6_Olmo2_Explicit_Cognitive,8.0,S6,Olmo2,Explicit,Cognitive
1,B1_R3,S6_Olmo2_Explicit_Cognitive,2.0,S6,Olmo2,Explicit,Cognitive
1,B1_R4,S6_Olmo2_Explicit_Cognitive,5.0,S6,Olmo2,Explicit,Cognitive
1,B1_R1,S6_Olmo2_Explicit_Affective,3.0,S6,Olmo2,Explicit,Affective
1,B1_R2,S6_Olmo2_Explicit_Affective,6.0,S6,Olmo2,Explicit,Affective
1,B1_R3,S6_Olmo2_Explicit_Affective,0.0,S6,Olmo2,Explicit,Affective
1,B1_R4,S6_Olmo2_Explicit_Affective,3.0,S6,Olmo2,Explicit,Affective
1,B1_R1,S7_Olmo3_Implicit_Cognitive,9.0,S7,Olmo3,Implicit,Cognitive
1,B1_R2,S7_Olmo3_Implicit_Cognitive,8.0,S7,Olmo3,Implicit,Cognitive
1,B1_R3,S7_Olmo3_Implicit_Cognitive,5.0,S7,Olmo3,Implicit,Cognitive
1,B1_R4,S7_Olmo3_Implicit_Cognitive,7.0,S7,Olmo3,Implicit,Cognitive
1,B1_R1,S7_Olmo3_Implicit_Affective,6.0,S7,Olmo3,Implicit,Affective
1,B1_R2,S7_Olmo3_Implicit_Affective,8.0,S7,Olmo3,Implicit,Affective
1,B1_R3,S7_Olmo3_Implicit_Affective,7.0,S7,Olmo3,Implicit,Affective
1,B1_R4,S7_Olmo3_Implicit_Affective,5.0,S7,Olmo3,Implicit,Affective
1,B1_R1,S8_Olmo3_Explicit_Cognitive,9.0,S8,Olmo3,Explicit,Cognitive
1,B1_R2,S8_Olmo3_Explicit_Cognitive,8.0,S8,Olmo3,Explicit,Cognitive
1,B1_R3,S8_Olmo3_Explicit_Cognitive,8.0,S8,Olmo3,Explicit,Cognitive
1,B1_R4,S8_Olmo3_Explicit_Cognitive,7.0,S8,Olmo3,Explicit,Cognitive
1,B1_R1,S8_Olmo3_Explicit_Affective,9.0,S8,Olmo3,Explicit,Affective
1,B1_R2,S8_Olmo3_Explicit_Affective,10.0,S8,Olmo3,Explicit,Affective
1,B1_R3,S8_Olmo3_Explicit_Affective,9.0,S8,Olmo3,Explicit,Affective
1,B1_R4,S8_Olmo3_Explicit_Affective,8.0,S8,Olmo3,Explicit,Affective
1,B1_R1,S9_Olmo2_Implicit_Cognitive,1.0,S9,Olmo2,Implicit,Cognitive
1,B1_R2,S9_Olmo2_Implicit_Cognitive,3.0,S9,Olmo2,Implicit,Cognitive
1,B1_R3,S9_Olmo2_Implicit_Cognitive,4.0,S9,Olmo2,Implicit,Cognitive
1,B1_R4,S9_Olmo2_Implicit_Cognitive,8.0,S9,Olmo2,Implicit,Cognitive
1,B1_R1,S9_Olmo2_Implicit_Affective,3.0,S9,Olmo2,Implicit,Affective
1,B1_R2,S9_Olmo2_Implicit_Affective,0.0,S9,Olmo2,Implicit,Affective
1,B1_R3,S9_Olmo2_Implicit_Affective,5.0,S9,Olmo2,Implicit,Affective
1,B1_R4,S9_Olmo2_Implicit_Affective,6.0,S9,Olmo2,Implicit,Affective
1,B1_R1,S10_Olmo2_Explicit_Cognitive,5.0,S10,Olmo2,Explicit,Cognitive
1,B1_R2,S10_Olmo2_Explicit_Cognitive,6.0,S10,Olmo2,Explicit,Cognitive
1,B1_R3,S10_Olmo2_Explicit_Cognitive,1.0,S10,Olmo2,Explicit,Cognitive
1,B1_R4,S10_Olmo2_Explicit_Cognitive,5.0,S10,Olmo2,Explicit,Cognitive
1,B1_R1,S10_Olmo2_Explicit_Affective,5.0,S10,Olmo2,Explicit,Affective
1,B1_R2,S10_Olmo2_Explicit_Affective,3.0,S10,Olmo2,Explicit,Affective
1,B1_R3,S10_Olmo2_Explicit_Affective,1.0,S10,Olmo2,Explicit,Affective
1,B1_R4,S10_Olmo2_Explicit_Affective,3.0,S10,Olmo2,Explicit,Affective
1,B1_R1,S11_Olmo3_Implicit_Cognitive,8.0,S11,Olmo3,Implicit,Cognitive
1,B1_R2,S11_Olmo3_Implicit_Cognitive,6.0,S11,Olmo3,Implicit,Cognitive
1,B1_R3,S11_Olmo3_Implicit_Cognitive,4.0,S11,Olmo3,Implicit,Cognitive
1,B1_R4,S11_Olmo3_Implicit_Cognitive,7.0,S11,Olmo3,Implicit,Cognitive
1,B1_R1,S11_Olmo3_Implicit_Affective,7.0,S11,Olmo3,Implicit,Affective
1,B1_R2,S11_Olmo3_Implicit_Affective,8.0,S11,Olmo3,Implicit,Affective
1,B1_R3,S11_Olmo3_Implicit_Affective,4.0,S11,Olmo3,Implicit,Affective
1,B1_R4,S11_Olmo3_Implicit_Affective,8.0,S11,Olmo3,Implicit,Affective
1,B1_R1,S12_Olmo3_Explicit_Cognitive,6.0,S12,Olmo3,Explicit,Cognitive
1,B1_R2,S12_Olmo3_Explicit_Cognitive,2.0,S12,Olmo3,Explicit,Cognitive
1,B1_R3,S12_Olmo3_Explicit_Cognitive,6.0,S12,Olmo3,Explicit,Cognitive
1,B1_R4,S12_Olmo3_Explicit_Cognitive,5.0,S12,Olmo3,Explicit,Cognitive
1,B1_R1,S12_Olmo3_Explicit_Affective,4.0,S12,Olmo3,Explicit,Affective
1,B1_R2,S12_Olmo3_Explicit_Affective,0.0,S12,Olmo3,Explicit,Affective
1,B1_R3,S12_Olmo3_Explicit_Affective,7.0,S12,Olmo3,Explicit,Affective
1,B1_R4,S12_Olmo3_Explicit_Affective,5.0,S12,Olmo3,Explicit,Affective
1,B1_R1,S13_Olmo2_Implicit_Cognitive,1.0,S13,Olmo2,Implicit,Cognitive
1,B1_R2,S13_Olmo2_Implicit_Cognitive,3.0,S13,Olmo2,Implicit,Cognitive
1,B1_R3,S13_Olmo2_Implicit_Cognitive,5.0,S13,Olmo2,Implicit,Cognitive
1,B1_R4,S13_Olmo2_Implicit_Cognitive,3.0,S13,Olmo2,Implicit,Cognitive
1,B1_R1,S13_Olmo2_Implicit_Affective,1.0,S13,Olmo2,Implicit,Affective
1,B1_R2,S13_Olmo2_Implicit_Affective,1.0,S13,Olmo2,Implicit,Affective
1,B1_R3,S13_Olmo2_Implicit_Affective,2.0,S13,Olmo2,Implicit,Affective
1,B1_R4,S13_Olmo2_Implicit_Affective,2.0,S13,Olmo2,Implicit,Affective
1,B1_R1,S14_Olmo2_Explicit_Cognitive,8.0,S14,Olmo2,Explicit,Cognitive
1,B1_R2,S14_Olmo2_Explicit_Cognitive,8.0,S14,Olmo2,Explicit,Cognitive
1,B1_R3,S14_Olmo2_Explicit_Cognitive,9.0,S14,Olmo2,Explicit,Cognitive
1,B1_R4,S14_Olmo2_Explicit_Cognitive,8.0,S14,Olmo2,Explicit,Cognitive
1,B1_R1,S14_Olmo2_Explicit_Affective,5.0,S14,Olmo2,Explicit,Affective
1,B1_R2,S14_Olmo2_Explicit_Affective,10.0,S14,Olmo2,Explicit,Affective
1,B1_R3,S14_Olmo2_Explicit_Affective,9.0,S14,Olmo2,Explicit,Affective
1,B1_R4,S14_Olmo2_Explicit_Affective,5.0,S14,Olmo2,Explicit,Affective
1,B1_R1,S15_Olmo3_Implicit_Cognitive,8.0,S15,Olmo3,Implicit,Cognitive
1,B1_R2,S15_Olmo3_Implicit_Cognitive,6.0,S15,Olmo3,Implicit,Cognitive
1,B1_R3,S15_Olmo3_Implicit_Cognitive,6.0,S15,Olmo3,Implicit,Cognitive
1,B1_R4,S15_Olmo3_Implicit_Cognitive,5.0,S15,Olmo3,Implicit,Cognitive
1,B1_R1,S15_Olmo3_Implicit_Affective,7.0,S15,Olmo3,Implicit,Affective
1,B1_R2,S15_Olmo3_Implicit_Affective,6.0,S15,Olmo3,Implicit,Affective
1,B1_R3,S15_Olmo3_Implicit_Affective,7.0,S15,Olmo3,Implicit,Affective
1,B1_R4,S15_Olmo3_Implicit_Affective,7.0,S15,Olmo3,Implicit,Affective
1,B1_R1,S16_Olmo3_Explicit_Cognitive,10.0,S16,Olmo3,Explicit,Cognitive
1,B1_R2,S16_Olmo3_Explicit_Cognitive,4.0,S16,Olmo3,Explicit,Cognitive
1,B1_R3,S16_Olmo3_Explicit_Cognitive,10.0,S16,Olmo3,Explicit,Cognitive
1,B1_R4,S16_Olmo3_Explicit_Cognitive,5.0,S16,Olmo3,Explicit,Cognitive
1,B1_R1,S16_Olmo3_Explicit_Affective,10.0,S16,Olmo3,Explicit,Affective
1,B1_R2,S16_Olmo3_Explicit_Affective,6.0,S16,Olmo3,Explicit,Affective
1,B1_R3,S16_Olmo3_Explicit_Affective,10.0,S16,Olmo3,Explicit,Affective
1,B1_R4,S16_Olmo3_Explicit_Affective,5.0,S16,Olmo3,Explicit,Affective
1,B1_R1,S17_Olmo2_Implicit_Cognitive,4.0,S17,Olmo2,Implicit,Cognitive
1,B1_R2,S17_Olmo2_Implicit_Cognitive,5.0,S17,Olmo2,Implicit,Cognitive
1,B1_R3,S17_Olmo2_Implicit_Cognitive,3.0,S17,Olmo2,Implicit,Cognitive
1,B1_R4,S17_Olmo2_Implicit_Cognitive,7.0,S17,Olmo2,Implicit,Cognitive
1,B1_R1,S17_Olmo2_Implicit_Affective,2.0,S17,Olmo2,Implicit,Affective
1,B1_R2,S17_Olmo2_Implicit_Affective,3.0,S17,Olmo2,Implicit,Affective
1,B1_R3,S17_Olmo2_Implicit_Affective,4.0,S17,Olmo2,Implicit,Affective
1,B1_R4,S17_Olmo2_Implicit_Affective,7.0,S17,Olmo2,Implicit,Affective
1,B1_R1,S18_Olmo2_Explicit_Cognitive,5.0,S18,Olmo2,Explicit,Cognitive
1,B1_R2,S18_Olmo2_Explicit_Cognitive,4.0,S18,Olmo2,Explicit,Cognitive
1,B1_R3,S18_Olmo2_Explicit_Cognitive,5.0,S18,Olmo2,Explicit,Cognitive
1,B1_R4,S18_Olmo2_Explicit_Cognitive,6.0,S18,Olmo2,Explicit,Cognitive
1,B1_R1,S18_Olmo2_Explicit_Affective,4.0,S18,Olmo2,Explicit,Affective
1,B1_R2,S18_Olmo2_Explicit_Affective,5.0,S18,Olmo2,Explicit,Affective
1,B1_R3,S18_Olmo2_Explicit_Affective,6.0,S18,Olmo2,Explicit,Affective
1,B1_R4,S18_Olmo2_Explicit_Affective,7.0,S18,Olmo2,Explicit,Affective
1,B1_R1,S19_Olmo3_Implicit_Cognitive,7.0,S19,Olmo3,Implicit,Cognitive
1,B1_R2,S19_Olmo3_Implicit_Cognitive,3.0,S19,Olmo3,Implicit,Cognitive
1,B1_R3,S19_Olmo3_Implicit_Cognitive,7.0,S19,Olmo3,Implicit,Cognitive
1,B1_R4,S19_Olmo3_Implicit_Cognitive,6.0,S19,Olmo3,Implicit,Cognitive
1,B1_R1,S19_Olmo3_Implicit_Affective,7.0,S19,Olmo3,Implicit,Affective
1,B1_R2,S19_Olmo3_Implicit_Affective,6.0,S19,Olmo3,Implicit,Affective
1,B1_R3,S19_Olmo3_Implicit_Affective,4.0,S19,Olmo3,Implicit,Affective
1,B1_R4,S19_Olmo3_Implicit_Affective,5.0,S19,Olmo3,Implicit,Affective
1,B1_R1,S20_Olmo3_Explicit_Cognitive,8.0,S20,Olmo3,Explicit,Cognitive
1,B1_R2,S20_Olmo3_Explicit_Cognitive,8.0,S20,Olmo3,Explicit,Cognitive
1,B1_R3,S20_Olmo3_Explicit_Cognitive,9.0,S20,Olmo3,Explicit,Cognitive
1,B1_R4,S20_Olmo3_Explicit_Cognitive,4.0,S20,Olmo3,Explicit,Cognitive
1,B1_R1,S20_Olmo3_Explicit_Affective,8.0,S20,Olmo3,Explicit,Affective
1,B1_R2,S20_Olmo3_Explicit_Affective,10.0,S20,Olmo3,Explicit,Affective
1,B1_R3,S20_Olmo3_Explicit_Affective,9.0,S20,Olmo3,Explicit,Affective
1,B1_R4,S20_Olmo3_Explicit_Affective,5.0,S20,Olmo3,Explicit,Affective
1,B1_R1,S21_Olmo2_Implicit_Cognitive,1.0,S21,Olmo2,Implicit,Cognitive
1,B1_R2,S21_Olmo2_Implicit_Cognitive,5.0,S21,Olmo2,Implicit,Cognitive
1,B1_R3,S21_Olmo2_Implicit_Cognitive,8.0,S21,Olmo2,Implicit,Cognitive
1,B1_R4,S21_Olmo2_Implicit_Cognitive,8.0,S21,Olmo2,Implicit,Cognitive
1,B1_R1,S21_Olmo2_Implicit_Affective,2.0,S21,Olmo2,Implicit,Affective
1,B1_R2,S21_Olmo2_Implicit_Affective,3.0,S21,Olmo2,Implicit,Affective
1,B1_R3,S21_Olmo2_Implicit_Affective,7.0,S21,Olmo2,Implicit,Affective
1,B1_R4,S21_Olmo2_Implicit_Affective,9.0,S21,Olmo2,Implicit,Affective
1,B1_R1,S22_Olmo2_Explicit_Cognitive,4.0,S22,Olmo2,Explicit,Cognitive
1,B1_R2,S22_Olmo2_Explicit_Cognitive,8.0,S22,Olmo2,Explicit,Cognitive
1,B1_R3,S22_Olmo2_Explicit_Cognitive,0.0,S22,Olmo2,Explicit,Cognitive
1,B1_R4,S22_Olmo2_Explicit_Cognitive,5.0,S22,Olmo2,Explicit,Cognitive
1,B1_R1,S22_Olmo2_Explicit_Affective,1.0,S22,Olmo2,Explicit,Affective
1,B1_R2,S22_Olmo2_Explicit_Affective,8.0,S22,Olmo2,Explicit,Affective
1,B1_R3,S22_Olmo2_Explicit_Affective,1.0,S22,Olmo2,Explicit,Affective
1,B1_R4,S22_Olmo2_Explicit_Affective,6.0,S22,Olmo2,Explicit,Affective
1,B1_R1,S23_Olmo3_Implicit_Cognitive,7.0,S23,Olmo3,Implicit,Cognitive
1,B1_R2,S23_Olmo3_Implicit_Cognitive,5.0,S23,Olmo3,Implicit,Cognitive
1,B1_R3,S23_Olmo3_Implicit_Cognitive,8.0,S23,Olmo3,Implicit,Cognitive
1,B1_R4,S23_Olmo3_Implicit_Cognitive,6.0,S23,Olmo3,Implicit,Cognitive
1,B1_R1,S23_Olmo3_Implicit_Affective,6.0,S23,Olmo3,Implicit,Affective
1,B1_R2,S23_Olmo3_Implicit_Affective,7.0,S23,Olmo3,Implicit,Affective
1,B1_R3,S23_Olmo3_Implicit_Affective,8.0,S23,Olmo3,Implicit,Affective
1,B1_R4,S23_Olmo3_Implicit_Affective,7.0,S23,Olmo3,Implicit,Affective
1,B1_R1,S24_Olmo3_Explicit_Cognitive,9.0,S24,Olmo3,Explicit,Cognitive
1,B1_R2,S24_Olmo3_Explicit_Cognitive,8.0,S24,Olmo3,Explicit,Cognitive
1,B1_R3,S24_Olmo3_Explicit_Cognitive,7.0,S24,Olmo3,Explicit,Cognitive
1,B1_R4,S24_Olmo3_Explicit_Cognitive,5.0,S24,Olmo3,Explicit,Cognitive
1,B1_R1,S24_Olmo3_Explicit_Affective,8.0,S24,Olmo3,Explicit,Affective
1,B1_R2,S24_Olmo3_Explicit_Affective,10.0,S24,Olmo3,Explicit,Affective
1,B1_R3,S24_Olmo3_Explicit_Affective,7.0,S24,Olmo3,Explicit,Affective
1,B1_R4,S24_Olmo3_Explicit_Affective,7.0,S24,Olmo3,Explicit,Affective
2,B2_R1,S1_Olmo2_Explicit_Cognitive,4.0,S1,Olmo2,Explicit,Cognitive
2,B2_R2,S1_Olmo2_Explicit_Cognitive,6.0,S1,Olmo2,Explicit,Cognitive
2,B2_R3,S1_Olmo2_Explicit_Cognitive,3.0,S1,Olmo2,Explicit,Cognitive
2,B2_R4,S1_Olmo2_Explicit_Cognitive,6.0,S1,Olmo2,Explicit,Cognitive
2,B2_R1,S1_Olmo2_Explicit_Affective,3.0,S1,Olmo2,Explicit,Affective
2,B2_R2,S1_Olmo2_Explicit_Affective,6.0,S1,Olmo2,Explicit,Affective
2,B2_R3,S1_Olmo2_Explicit_Affective,4.0,S1,Olmo2,Explicit,Affective
2,B2_R4,S1_Olmo2_Explicit_Affective,2.0,S1,Olmo2,Explicit,Affective
2,B2_R1,S2_Olmo3_Implicit_Cognitive,7.0,S2,Olmo3,Implicit,Cognitive
2,B2_R2,S2_Olmo3_Implicit_Cognitive,5.0,S2,Olmo3,Implicit,Cognitive
2,B2_R3,S2_Olmo3_Implicit_Cognitive,8.0,S2,Olmo3,Implicit,Cognitive
2,B2_R4,S2_Olmo3_Implicit_Cognitive,10.0,S2,Olmo3,Implicit,Cognitive
2,B2_R1,S2_Olmo3_Implicit_Affective,8.0,S2,Olmo3,Implicit,Affective
2,B2_R2,S2_Olmo3_Implicit_Affective,6.0,S2,Olmo3,Implicit,Affective
2,B2_R3,S2_Olmo3_Implicit_Affective,8.0,S2,Olmo3,Implicit,Affective
2,B2_R4,S2_Olmo3_Implicit_Affective,4.0,S2,Olmo3,Implicit,Affective
2,B2_R1,S3_Olmo3_Explicit_Cognitive,8.0,S3,Olmo3,Explicit,Cognitive
2,B2_R2,S3_Olmo3_Explicit_Cognitive,8.0,S3,Olmo3,Explicit,Cognitive
2,B2_R3,S3_Olmo3_Explicit_Cognitive,6.0,S3,Olmo3,Explicit,Cognitive
2,B2_R4,S3_Olmo3_Explicit_Cognitive,6.0,S3,Olmo3,Explicit,Cognitive
2,B2_R1,S3_Olmo3_Explicit_Affective,9.0,S3,Olmo3,Explicit,Affective
2,B2_R2,S3_Olmo3_Explicit_Affective,6.0,S3,Olmo3,Explicit,Affective
2,B2_R3,S3_Olmo3_Explicit_Affective,5.0,S3,Olmo3,Explicit,Affective
2,B2_R4,S3_Olmo3_Explicit_Affective,3.0,S3,Olmo3,Explicit,Affective
2,B2_R1,S4_Olmo2_Implicit_Cognitive,3.0,S4,Olmo2,Implicit,Cognitive
2,B2_R2,S4_Olmo2_Implicit_Cognitive,2.0,S4,Olmo2,Implicit,Cognitive
2,B2_R3,S4_Olmo2_Implicit_Cognitive,3.0,S4,Olmo2,Implicit,Cognitive
2,B2_R4,S4_Olmo2_Implicit_Cognitive,9.0,S4,Olmo2,Implicit,Cognitive
2,B2_R1,S4_Olmo2_Implicit_Affective,2.0,S4,Olmo2,Implicit,Affective
2,B2_R2,S4_Olmo2_Implicit_Affective,2.0,S4,Olmo2,Implicit,Affective
2,B2_R3,S4_Olmo2_Implicit_Affective,3.0,S4,Olmo2,Implicit,Affective
2,B2_R4,S4_Olmo2_Implicit_Affective,4.0,S4,Olmo2,Implicit,Affective
2,B2_R1,S5_Olmo2_Explicit_Cognitive,6.0,S5,Olmo2,Explicit,Cognitive
2,B2_R2,S5_Olmo2_Explicit_Cognitive,8.0,S5,Olmo2,Explicit,Cognitive
2,B2_R3,S5_Olmo2_Explicit_Cognitive,2.0,S5,Olmo2,Explicit,Cognitive
2,B2_R4,S5_Olmo2_Explicit_Cognitive,10.0,S5,Olmo2,Explicit,Cognitive
2,B2_R1,S5_Olmo2_Explicit_Affective,6.0,S5,Olmo2,Explicit,Affective
2,B2_R2,S5_Olmo2_Explicit_Affective,5.0,S5,Olmo2,Explicit,Affective
2,B2_R3,S5_Olmo2_Explicit_Affective,3.0,S5,Olmo2,Explicit,Affective
2,B2_R4,S5_Olmo2_Explicit_Affective,10.0,S5,Olmo2,Explicit,Affective
2,B2_R1,S6_Olmo3_Implicit_Cognitive,5.0,S6,Olmo3,Implicit,Cognitive
2,B2_R2,S6_Olmo3_Implicit_Cognitive,8.0,S6,Olmo3,Implicit,Cognitive
2,B2_R3,S6_Olmo3_Implicit_Cognitive,2.0,S6,Olmo3,Implicit,Cognitive
2,B2_R4,S6_Olmo3_Implicit_Cognitive,8.0,S6,Olmo3,Implicit,Cognitive
2,B2_R1,S6_Olmo3_Implicit_Affective,7.0,S6,Olmo3,Implicit,Affective
2,B2_R2,S6_Olmo3_Implicit_Affective,8.0,S6,Olmo3,Implicit,Affective
2,B2_R3,S6_Olmo3_Implicit_Affective,2.0,S6,Olmo3,Implicit,Affective
2,B2_R4,S6_Olmo3_Implicit_Affective,5.0,S6,Olmo3,Implicit,Affective
2,B2_R1,S7_Olmo3_Explicit_Cognitive,9.0,S7,Olmo3,Explicit,Cognitive
2,B2_R2,S7_Olmo3_Explicit_Cognitive,8.0,S7,Olmo3,Explicit,Cognitive
2,B2_R3,S7_Olmo3_Explicit_Cognitive,5.0,S7,Olmo3,Explicit,Cognitive
2,B2_R4,S7_Olmo3_Explicit_Cognitive,7.0,S7,Olmo3,Explicit,Cognitive
2,B2_R1,S7_Olmo3_Explicit_Affective,7.0,S7,Olmo3,Explicit,Affective
2,B2_R2,S7_Olmo3_Explicit_Affective,7.0,S7,Olmo3,Explicit,Affective
2,B2_R3,S7_Olmo3_Explicit_Affective,5.0,S7,Olmo3,Explicit,Affective
2,B2_R4,S7_Olmo3_Explicit_Affective,9.0,S7,Olmo3,Explicit,Affective
2,B2_R1,S8_Olmo2_Implicit_Cognitive,4.0,S8,Olmo2,Implicit,Cognitive
2,B2_R2,S8_Olmo2_Implicit_Cognitive,8.0,S8,Olmo2,Implicit,Cognitive
2,B2_R3,S8_Olmo2_Implicit_Cognitive,5.0,S8,Olmo2,Implicit,Cognitive
2,B2_R4,S8_Olmo2_Implicit_Cognitive,6.0,S8,Olmo2,Implicit,Cognitive
2,B2_R1,S8_Olmo2_Implicit_Affective,4.0,S8,Olmo2,Implicit,Affective
2,B2_R2,S8_Olmo2_Implicit_Affective,6.0,S8,Olmo2,Implicit,Affective
2,B2_R3,S8_Olmo2_Implicit_Affective,5.0,S8,Olmo2,Implicit,Affective
2,B2_R4,S8_Olmo2_Implicit_Affective,1.0,S8,Olmo2,Implicit,Affective
2,B2_R1,S9_Olmo2_Explicit_Cognitive,4.0,S9,Olmo2,Explicit,Cognitive
2,B2_R2,S9_Olmo2_Explicit_Cognitive,7.0,S9,Olmo2,Explicit,Cognitive
2,B2_R3,S9_Olmo2_Explicit_Cognitive,2.0,S9,Olmo2,Explicit,Cognitive
2,B2_R4,S9_Olmo2_Explicit_Cognitive,9.0,S9,Olmo2,Explicit,Cognitive
2,B2_R1,S9_Olmo2_Explicit_Affective,3.0,S9,Olmo2,Explicit,Affective
2,B2_R2,S9_Olmo2_Explicit_Affective,7.0,S9,Olmo2,Explicit,Affective
2,B2_R3,S9_Olmo2_Explicit_Affective,2.0,S9,Olmo2,Explicit,Affective
2,B2_R4,S9_Olmo2_Explicit_Affective,8.0,S9,Olmo2,Explicit,Affective
2,B2_R1,S10_Olmo3_Implicit_Cognitive,4.0,S10,Olmo3,Implicit,Cognitive
2,B2_R2,S10_Olmo3_Implicit_Cognitive,5.0,S10,Olmo3,Implicit,Cognitive
2,B2_R3,S10_Olmo3_Implicit_Cognitive,3.0,S10,Olmo3,Implicit,Cognitive
2,B2_R4,S10_Olmo3_Implicit_Cognitive,6.0,S10,Olmo3,Implicit,Cognitive
2,B2_R1,S10_Olmo3_Implicit_Affective,3.0,S10,Olmo3,Implicit,Affective
2,B2_R2,S10_Olmo3_Implicit_Affective,4.0,S10,Olmo3,Implicit,Affective
2,B2_R3,S10_Olmo3_Implicit_Affective,2.0,S10,Olmo3,Implicit,Affective
2,B2_R4,S10_Olmo3_Implicit_Affective,3.0,S10,Olmo3,Implicit,Affective
2,B2_R1,S11_Olmo3_Explicit_Cognitive,8.0,S11,Olmo3,Explicit,Cognitive
2,B2_R2,S11_Olmo3_Explicit_Cognitive,8.0,S11,Olmo3,Explicit,Cognitive
2,B2_R3,S11_Olmo3_Explicit_Cognitive,7.0,S11,Olmo3,Explicit,Cognitive
2,B2_R4,S11_Olmo3_Explicit_Cognitive,8.0,S11,Olmo3,Explicit,Cognitive
2,B2_R1,S11_Olmo3_Explicit_Affective,9.0,S11,Olmo3,Explicit,Affective
2,B2_R2,S11_Olmo3_Explicit_Affective,8.0,S11,Olmo3,Explicit,Affective
