scenario,model,explicitness,dimension,score
S19,Olmo3,Implicit,Affective,5.5
S19,Olmo3,Implicit,Cognitive,5.75
S2,Olmo2,Explicit,Affective,6.5
S2,Olmo2,Explicit,Cognitive,7.0
S2,Olmo2,Implicit,Affective,4.75
S2,Olmo2,Implicit,Cognitive,6.75
S2,Olmo3,Explicit,Affective,8.5
S2,Olmo3,Explicit,Cognitive,8.25
S2,Olmo3,Implicit,Affective,6.5
S2,Olmo3,Implicit,Cognitive,7.5
S20,Olmo2,Explicit,Affective,5.75
S20,Olmo2,Explicit,Cognitive,6.5
S20,Olmo2,Implicit,Affective,5.0
S20,Olmo2,Implicit,Cognitive,7.25
S20,Olmo3,Explicit,Affective,8.0
S20,Olmo3,Explicit,Cognitive,7.25
S20,Olmo3,Implicit,Affective,8.75
S20,Olmo3,Implicit,Cognitive,7.0
S21,Olmo2,Explicit,Affective,4.75
S21,Olmo2,Explicit,Cognitive,6.5
S21,Olmo2,Implicit,Affective,5.25
S21,Olmo2,Implicit,Cognitive,5.5
S21,Olmo3,Explicit,Affective,6.75
S21,Olmo3,Explicit,Cognitive,4.5
S21,Olmo3,Implicit,Affective,5.0
S21,Olmo3,Implicit,Cognitive,6.0
S22,Olmo2,Explicit,Affective,4.0
S22,Olmo2,Explicit,Cognitive,4.25
S22,Olmo2,Implicit,Affective,4.75
S22,Olmo2,Implicit,Cognitive,5.5
S22,Olmo3,Explicit,Affective,7.0
S22,Olmo3,Explicit,Cognitive,7.75
S22,Olmo3,Implicit,Affective,6.0
S22,Olmo3,Implicit,Cognitive,5.0
S23,Olmo2,Explicit,Affective,4.0
S23,Olmo2,Explicit,Cognitive,5.5
S23,Olmo2,Implicit,Affective,3.0
S23,Olmo2,Implicit,Cognitive,4.25
S23,Olmo3,Explicit,Affective,6.5
S23,Olmo3,Explicit,Cognitive,8.0
S23,Olmo3,Implicit,Affective,7.0
S23,Olmo3,Implicit,Cognitive,6.5
S24,Olmo2,Explicit,Affective,5.75
S24,Olmo2,Explicit,Cognitive,7.0
S24,Olmo2,Implicit,Affective,6.25
S24,Olmo2,Implicit,Cognitive,7.5
S24,Olmo3,Explicit,Affective,8.0
S24,Olmo3,Explicit,Cognitive,7.25
S24,Olmo3,Implicit,Affective,6.75
S24,Olmo3,Implicit,Cognitive,6.0
S3,Olmo2,Explicit,Affective,5.0
S3,Olmo2,Explicit,Cognitive,7.5
S3,Olmo2,Implicit,Affective,6.25
S3,Olmo2,Implicit,Cognitive,7.0
S3,Olmo3,Explicit,Affective,5.75
S3,Olmo3,Explicit,Cognitive,7.0
S3,Olmo3,Implicit,Affective,6.75
S3,Olmo3,Implicit,Cognitive,6.75
S4,Olmo2,Explicit,Affective,6.25
S4,Olmo2,Explicit,Cognitive,7.0
S4,Olmo2,Implicit,Affective,2.75
S4,Olmo2,Implicit,Cognitive,4.25
S4,Olmo3,Explicit,Affective,9.25
S4,Olmo3,Explicit,Cognitive,8.5
S4,Olmo3,Implicit,Affective,8.0
S4,Olmo3,Implicit,Cognitive,6.75
S5,Olmo2,Explicit,Affective,6.0
S5,Olmo2,Explicit,Cognitive,6.5
S5,Olmo2,Implicit,Affective,3.5
S5,Olmo2,Implicit,Cognitive,4.75
S5,Olmo3,Explicit,Affective,7.0
S5,Olmo3,Explicit,Cognitive,7.0
S5,Olmo3,Implicit,Affective,6.0
S5,Olmo3,Implicit,Cognitive,6.5
S6,Olmo2,Explicit,Affective,3.0
S6,Olmo2,Explicit,Cognitive,4.75
S6,Olmo2,Implicit,Affective,5.75
S6,Olmo2,Implicit,Cognitive,6.25
S6,Olmo3,Explicit,Affective,8.25
S6,Olmo3,Explicit,Cognitive,8.25
S6,Olmo3,Implicit,Affective,5.5
S6,Olmo3,Implicit,Cognitive,5.75
S7,Olmo2,Explicit,Affective,8.0
S7,Olmo2,Explicit,Cognitive,8.25
S7,Olmo2,Implicit,Affective,3.0
S7,Olmo2,Implicit,Cognitive,5.5
S7,Olmo3,Explicit,Affective,7.0
S7,Olmo3,Explicit,Cognitive,7.25
S7,Olmo3,Implicit,Affective,6.5
S7,Olmo3,Implicit,Cognitive,7.25
S8,Olmo2,Explicit,Affective,7.75
S8,Olmo2,Explicit,Cognitive,8.25
S8,Olmo2,Implicit,Affective,4.0
S8,Olmo2,Implicit,Cognitive,5.75
S8,Olmo3,Explicit,Affective,9.0
S8,Olmo3,Explicit,Cognitive,8.0
S8,Olmo3,Implicit,Affective,4.75
S8,Olmo3,Implicit,Cognitive,3.75
S9,Olmo2,Explicit,Affective,5.0
S9,Olmo2,Explicit,Cognitive,5.5
S9,Olmo2,Implicit,Affective,3.5
S9,Olmo2,Implicit,Cognitive,4.0
S9,Olmo3,Explicit,Affective,8.0
S9,Olmo3,Explicit,Cognitive,8.0
S9,Olmo3,Implicit,Affective,5.5
S9,Olmo3,Implicit,Cognitive,6.5
